nodeId1,portId1,nodeId2,portId2,bandwidth,delay
27,9,31,6,400Gbps,100ns
27,10,35,3,400Gbps,100ns
27,11,43,3,400Gbps,100ns
27,12,51,3,400Gbps,100ns
27,13,59,3,400Gbps,100ns
27,14,259,3,400Gbps,100ns
28,7,29,7,400Gbps,100ns
28,8,30,7,400Gbps,100ns
28,9,31,7,400Gbps,100ns
28,10,36,3,400Gbps,100ns
28,11,44,3,400Gbps,100ns
28,12,52,3,400Gbps,100ns
28,13,60,3,400Gbps,100ns
28,14,260,3,400Gbps,100ns
29,8,30,8,400Gbps,100ns
29,9,31,8,400Gbps,100ns
29,10,37,3,400Gbps,100ns
29,11,45,3,400Gbps,100ns
29,12,53,3,400Gbps,100ns
29,13,61,3,400Gbps,100ns
29,14,261,3,400Gbps,100ns
30,9,31,9,400Gbps,100ns
30,10,38,3,400Gbps,100ns
30,11,46,3,400Gbps,100ns
30,12,54,3,400Gbps,100ns
30,13,62,3,400Gbps,100ns
30,14,262,3,400Gbps,100ns
31,10,39,3,400Gbps,100ns
31,11,47,3,400Gbps,100ns
31,12,55,3,400Gbps,100ns
31,13,63,3,400Gbps,100ns
31,14,263,3,400Gbps,100ns
32,4,33,4,400Gbps,100ns
32,5,34,4,400Gbps,100ns
32,6,35,4,400Gbps,100ns
32,7,36,4,400Gbps,100ns
32,8,37,4,400Gbps,100ns
32,9,38,4,400Gbps,100ns
32,10,39,4,400Gbps,100ns
32,11,40,4,400Gbps,100ns
32,12,48,4,400Gbps,100ns
32,13,56,4,400Gbps,100ns
32,14,256,4,400Gbps,100ns
33,5,34,5,400Gbps,100ns
33,6,35,5,400Gbps,100ns
33,7,36,5,400Gbps,100ns
33,8,37,5,400Gbps,100ns
33,9,38,5,400Gbps,100ns
33,10,39,5,400Gbps,100ns
33,11,41,4,400Gbps,100ns
33,12,49,4,400Gbps,100ns
33,13,57,4,400Gbps,100ns
33,14,257,4,400Gbps,100ns
34,6,35,6,400Gbps,100ns
34,7,36,6,400Gbps,100ns
34,8,37,6,400Gbps,100ns
34,9,38,6,400Gbps,100ns
34,10,39,6,400Gbps,100ns
34,11,42,4,400Gbps,100ns
